"","subid","duration","summary","summary_coded","yob","gender","ethnicity","religion","comments","subid_char","character","capacity","response","response_num"
"11","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","figure things out","KINDA",0.5
"12","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","feel tired","KINDA",0.5
"13","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","get lonely","KINDA",0.5
"14","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","hate someone","NO",0
"15","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","remember things","NO",0
"16","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","please click kinda","KINDA",0.5
"17","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","get sad","NO",0
"18","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","feel sorry","NO",0
"19","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","hear","YES",1
"20","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","love someone","NO",0
"21","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","please choose yes","YES",1
"22","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","love someone","NO",0
"23","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","hear","YES",1
"24","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","feel sorry","NO",0
"25","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","get sad","NO",0
"26","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","please click kinda","KINDA",0.5
"27","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","remember things","YES",1
"28","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","hate someone","NO",0
"29","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","please choose yes","YES",1
"30","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","get lonely","NO",0
"31","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","feel tired","NO",0
"32","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","figure things out","YES",1
"33","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","get scared","NO",0
"34","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","see","YES",1
"35","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","feel sick","NO",0
"36","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","get thirsty","NO",0
"37","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","smell things","NO",0
"38","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","please select no","NO",0
"39","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","know stuff","YES",1
"40","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","feel happy","NO",0
"41","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","feel hungry","NO",0
"42","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_robots","robots","think","YES",1
"43","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","smell things","NO",0
"44","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","feel tired","NO",0
"45","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","see","YES",1
"46","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","feel sorry","NO",0
"47","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","please select no","NO",0
"48","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","feel sick","NO",0
"49","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","hear","YES",1
"50","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","remember things","YES",1
"51","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","think","KINDA",0.5
"52","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","get scared","NO",0
"53","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","get thirsty","NO",0
"54","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","love someone","NO",0
"55","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","know stuff","YES",1
"56","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","feel hungry","NO",0
"57","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","feel happy","NO",0
"58","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","please click kinda","KINDA",0.5
"59","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","hate someone","NO",0
"60","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","get lonely","NO",0
"61","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","get sad","NO",0
"62","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","figure things out","YES",1
"63","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_robots","robots","please choose yes","YES",1
"64","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","figure things out","KINDA",0.5
"65","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","get sad","YES",1
"66","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","get lonely","YES",1
"67","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","hate someone","NO",0
"68","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","please click kinda","KINDA",0.5
"69","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","feel happy","KINDA",0.5
"70","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","feel hungry","YES",1
"71","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","please choose yes","YES",1
"72","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","know stuff","KINDA",0.5
"73","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","love someone","NO",0
"74","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","get thirsty","YES",1
"75","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","get scared","KINDA",0.5
"76","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","think","YES",1
"77","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","remember things","YES",1
"78","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","hear","YES",1
"79","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","feel sick","YES",1
"80","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","please select no","NO",0
"81","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","feel sorry","NO",0
"82","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","see","YES",1
"83","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","feel tired","YES",1
"84","R-0POfrsrnsQF3kDD","170","I answered questions regarding the capability of a robot and a beetle to do certain things like see, hear, or remember.","1","1994","m","white","not_religious","","R-0POfrsrnsQF3kDD_beetles","beetles","smell things","YES",1
"85","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","feel happy","NO",0
"86","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","think","NO",0
"87","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","feel sick","NO",0
"88","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","hear","NO",0
"89","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","please select no","NO",0
"90","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","figure things out","NO",0
"91","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","hate someone","NO",0
"92","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","see","NO",0
"93","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","feel hungry","NO",0
"94","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","love someone","NO",0
"95","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","get lonely","NO",0
"96","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","get sad","NO",0
"97","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","feel tired","NO",0
"98","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","smell things","NO",0
"99","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","get scared","NO",0
"100","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","please click kinda","KINDA",0.5
"101","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","remember things","YES",1
"102","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","get thirsty","NO",0
"103","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","feel sorry","NO",0
"104","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","know stuff","NO",0
"105","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_robots","robots","please choose yes","YES",1
"106","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","know stuff","NO",0
"107","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","feel sorry","NO",0
"108","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","get thirsty","KINDA",0.5
"109","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","remember things","KINDA",0.5
"110","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","please click kinda","KINDA",0.5
"111","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","get scared","YES",1
"112","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","smell things","KINDA",0.5
"113","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","please choose yes","YES",1
"114","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","feel tired","NO",0
"115","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","get sad","NO",0
"116","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","get lonely","NO",0
"117","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","love someone","NO",0
"118","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","feel hungry","YES",1
"119","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","see","KINDA",0.5
"120","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","hate someone","NO",0
"121","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","figure things out","NO",0
"122","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","please select no","NO",0
"123","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","hear","NO",0
"124","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","feel sick","NO",0
"125","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","think","NO",0
"126","R-11iKKuzfxVwnsgV","210","I was asked to indicate whether a given object/being is able to feel certain emotions/sensations","1","1988","m","black","christianity","","R-11iKKuzfxVwnsgV_beetles","beetles","feel happy","NO",0
"127","R-122SC2CkwO6Lx6H","180","adjustment for intake of fruit and vegetables, smoking, alcohol consumption, physical activity, age, education, and profession","0","25","f","white","christianity","this survey nice","R-122SC2CkwO6Lx6H_robots","robots","love someone","KINDA",0.5
"128","R-122SC2CkwO6Lx6H","180","adjustment for intake of fruit and vegetables, smoking, alcohol consumption, physical activity, age, education, and profession","0","25","f","white","christianity","this survey nice","R-122SC2CkwO6Lx6H_robots","robots","hear","KINDA",0.5
"129","R-122SC2CkwO6Lx6H","180","adjustment for intake of fruit and vegetables, smoking, alcohol consumption, physical activity, age, education, and profession","0","25","f","white","christianity","this survey nice","R-122SC2CkwO6Lx6H_robots","robots","feel sorry","NO",0
"130","R-122SC2CkwO6Lx6H","180","adjustment for intake of fruit and vegetables, smoking, alcohol consumption, physical activity, age, education, and profession","0","25","f","white","christianity","this survey nice","R-122SC2CkwO6Lx6H_robots","robots","get sad","KINDA",0.5
"131","R-122SC2CkwO6Lx6H","180","adjustment for intake of fruit and vegetables, smoking, alcohol consumption, physical activity, age, education, and profession","0","25","f","white","christianity","this survey nice","R-122SC2CkwO6Lx6H_robots","robots","please select no","KINDA",0.5
"132","R-122SC2CkwO6Lx6H","180","adjustment for intake of fruit and vegetables, smoking, alcohol consumption, physical activity, age, education, and profession","0","25","f","white","christianity","this survey nice","R-122SC2CkwO6Lx6H_robots","robots","remember things","YES",1
"133","R-122SC2CkwO6Lx6H","180","adjustment for intake of fruit and vegetables, smoking, alcohol consumption, physical activity, age, education, and profession","0","25","f","white","christianity","this survey nice","R-122SC2CkwO6Lx6H_robots","robots","hate someone","KINDA",0.5
"134","R-122SC2CkwO6Lx6H","180","adjustment for intake of fruit and vegetables, smoking, alcohol consumption, physical activity, age, education, and profession","0","25","f","white","christianity","this survey nice","R-122SC2CkwO6Lx6H_robots","robots","get lonely","YES",1
"135","R-122SC2CkwO6Lx6H","180","adjustment for intake of fruit and vegetables, smoking, alcohol consumption, physical activity, age, education, and profession","0","25","f","white","christianity","this survey nice","R-122SC2CkwO6Lx6H_robots","robots","feel tired","YES",1
