trialNum,bgColor,capacity,capWording,response,responseNum,hoverTime,rt,character,charWording,subid,sessionDuration,testingSite,experimenter,trialComments,sessionComments,run,age,gender,bilingual,languages,ethnicity
13,#79e3f9,self_aware,be aware of itself,no,0,6346,32889,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
14,#f3d0d9,depth,sense whether something is close by or far away,yes,1,0,10278,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
15,#d0e0c8,beliefs,have beliefs -- like when you think something is true,kinda,0.5,0,12167,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
16,#aceab4,pain,feel pain,no,0,0,7275,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
17,#e3dbc8,goal,have goals -- like when you're working hard to do something or make something happen,yes,1,0,10884,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
18,#fddbd0,emo_recog,understand how somebody else is feeling,yes,1,0,8820,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
19,#cae5a1,thoughts,have thoughts,no,0,0,7398,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
20,#bfd6fa,odors,smell things,no,0,0,6407,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
21,#d1e48e,nauseated,feel sick -- like when you feel like you might throw up,no,0,0,7483,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
22,#f0d27e,reasoning,figure out how to do things,yes,1,0,8602,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
23,#97eca5,sounds,hear sounds,yes,1,0,7208,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
24,#bae6c8,angry,get angry,no,0,0,6433,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
25,#f2e1bc,remembering,remember things,yes,1,0,6813,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
26,#b5eaa1,calm,feel calm,no,0,0,8781,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
27,#3eeaef,free_will,decide what to do,kinda,0.5,0,12078,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
28,#a9e7e4,fear,feel scared,no,0,0,7369,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
29,#fdcc93,computations,do math,yes,1,0,7033,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
30,#bce98d,love,feel love,no,0,0,5916,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
31,#d5d0fa,hungry,get hungry,no,0,0,5037,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
32,#cde8e2,morality,know what's nice and what's mean,yes,1,0,8718,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
33,#e3d3af,depressed,feel sad,no,0,0,7126,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
34,#ead1ec,disrespected,get hurt feelings,no,0,0,5987,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
35,#f0d9a2,pleasure,feel pleasure -- like when something feels really good,kinda,0.5,0,10402,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
36,#c3e5b5,desires,have desires -- like when you really want something,kinda,0.5,1841,9640,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
37,#a7dcf9,self_restraint,have self-control -- like when you stop yourself from doing something you shouldn't do,yes,1,0,10132,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
38,#dee7bc,choices,make choices,yes,1,0,8096,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
39,#dedfa2,happy,feel happy,no,0,0,6282,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
40,#a9f2ce,seeing,see things,yes,1,0,6673,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
1,#e3df8e,choices,make choices,no,0,0,8625,beetle,a beetle,A02,6.86615,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
2,#f2e1bc,disrespected,get hurt feelings,kinda,0.5,0,15822,beetle,a beetle,A02,6.86615,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
3,#79e3f9,depth,sense whether something is close by or far away,kinda,0.5,0,9729,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
4,#cae5a1,computations,do math,no,0,0,6464,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
5,#d5d0fa,self_restraint,have self-control -- like when you stop yourself from doing something you shouldn't do,no,0,0,11763,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
6,#f2cdb9,odors,smell things,yes,1,0,7340,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
7,#5ef2da,guilt,feel guilty,no,0,0,6952,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
8,#3eeaef,thoughts,have thoughts,no,0,0,7998,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
9,#ead1ec,embarrassed,feel embarrassed,no,0,0,8309,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
10,#9be4c0,beliefs,have beliefs -- like when you think something is true,no,0,0,10217,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
11,#a7dcf9,tired,feel tired,kinda,0.5,0,6862,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
12,#dedfa2,desires,have desires -- like when you really want something,kinda,0.5,0,11607,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
13,#aceab4,seeing,see things,yes,1,0,7902,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
14,#97eca5,personality,have a personality -- like when someone is shy and somebody else is silly,no,0,0,11206,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
15,#bce98d,hungry,get hungry,yes,1,0,6918,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
16,#a9f2ce,joy,feel joy,no,0,0,6243,beetle,a beetle,A02,6.866166667,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
17,#64f8f4,goal,have goals -- like when you're working hard to do something or make something happen,no,0,0,14168,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
18,#c3e5b5,temperature,sense temperatures,kinda,0.5,0,8541,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
19,#d0d9ae,angry,get angry,no,0,0,6851,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
20,#84eced,communicating,communicate with somebody else,yes,1,0,8205,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
21,#e3d3af,recognizing,recognize somebody else,yes,1,0,13229,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
22,#f3d0d9,morality,know what's nice and what's mean,yes,1,220,11598,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
23,#94ebda,safe,feel safe,yes,1,0,7549,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
24,#f3c5fa,emo_recog,understand how somebody else is feeling,no,0,0,8086,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
25,#d2dcee,happy,feel happy,no,0,0,8191,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
26,#b5eaa1,intentions,make plans,kinda,0.5,0,7876,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
27,#b4dbe7,nauseated,feel sick -- like when you feel like you might throw up,kinda,0.5,0,8962,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
28,#d0e0c8,reasoning,figure out how to do things,yes,1,0,7111,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
29,#bae6c8,remembering,remember things,kinda,0.5,0,8157,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
30,#a9e7e4,pain,feel pain,yes,1,0,6653,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
31,#cde8e2,pride,feel proud,no,0,0,6604,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
32,#c2e9f5,calm,feel calm,yes,1,0,6132,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
33,#f0d9a2,fear,feel scared,yes,1,0,6265,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
34,#fde096,self_aware,be aware of itself,kinda,0.5,9548,34256,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
35,#dee7bc,depressed,feel sad,no,0,0,10517,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
36,#d1e48e,free_will,decide what to do,kinda,0.5,0,8235,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
37,#e3dbc8,love,feel love,kinda,0.5,0,5967,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
38,#f0d27e,conscious,be aware of things,kinda,0.5,8781,17882,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
39,#8cf2c3,pleasure,feel pleasure -- like when something feels really good,kinda,0.5,0,10619,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
40,#fddbd0,sounds,hear sounds,yes,1,0,6951,beetle,a beetle,A02,6.866183333,NA,NA,NA,NA,run_01,8.525,f,yes,"spanish, english",hispanic or latino/a
1,#f2cdb9,free_will,decide what to do,kinda,0.5,0,12320,beetle,a beetle,A03,7.361983333,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
2,#bfd6fa,temperature,sense temperatures,no,0,8504,19475,beetle,a beetle,A03,7.362,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
3,#d0d9ae,communicating,communicate with somebody else,no,0,0,16935,beetle,a beetle,A03,7.362,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
4,#f3c5fa,nauseated,feel sick -- like when you feel like you might throw up,yes,1,0,12304,beetle,a beetle,A03,7.362,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
5,#84eced,beliefs,have beliefs -- like when you think something is true,no,0,0,10344,beetle,a beetle,A03,7.362,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
6,#cde8e2,computations,do math,no,0,0,7597,beetle,a beetle,A03,7.362,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
7,#f0d27e,thoughts,have thoughts,kinda,0.5,218,8556,beetle,a beetle,A03,7.362,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
8,#f2e1bc,desires,have desires -- like when you really want something,yes,1,0,12451,beetle,a beetle,A03,7.362,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
9,#e3dbc8,personality,have a personality -- like when someone is shy and somebody else is silly,no,0,0,11251,beetle,a beetle,A03,7.362,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
10,#3eeaef,embarrassed,feel embarrassed,kinda,0.5,0,10341,beetle,a beetle,A03,7.362,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
11,#ead1ec,pleasure,feel pleasure -- like when something feels really good,yes,1,0,8599,beetle,a beetle,A03,7.362,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
12,#79e3f9,hungry,get hungry,yes,1,0,6797,beetle,a beetle,A03,7.362,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
13,#d0e0c8,sounds,hear sounds,no,0,0,7980,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
14,#bce98d,seeing,see things,yes,1,0,7812,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
15,#b5eaa1,self_restraint,have self-control -- like when you stop yourself from doing something you shouldn't do,yes,1,0,18401,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
16,#5ef2da,morality,know what's nice and what's mean,no,0,0,9344,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
17,#94ebda,odors,smell things,no,0,0,7388,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
18,#fddbd0,recognizing,recognize somebody else,no,NA,0,205,beetle,a beetle,A03,7.362016667,NA,NA,experimenter accidentally entered response of no; question skipped,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
19,#97eca5,remembering,remember things,kinda,0.5,0,12539,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
20,#aceab4,depressed,feel sad,yes,1,0,7531,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
21,#e3d3af,reasoning,figure out how to do things,yes,1,0,8921,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
22,#a7dcf9,tired,feel tired,yes,1,0,7693,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
23,#9be4c0,choices,make choices,kinda,0.5,0,10837,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
24,#fdcc93,joy,feel joy,yes,1,0,10614,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
25,#dedfa2,calm,feel calm,kinda,0.5,0,8170,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
26,#c3e5b5,intentions,make plans,no,0,0,8539,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
27,#8cf2c3,love,feel love,yes,1,0,8458,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
28,#e3df8e,goal,have goals -- like when you're working hard to do something or make something happen,no,0,0,12064,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
29,#bae6c8,pain,feel pain,yes,1,0,10479,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
30,#d5d0fa,depth,sense whether something is close by or far away,yes,1,0,10389,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
31,#a9f2ce,angry,get angry,no,0,0,7322,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
32,#f3d0d9,conscious,be aware of things,no,0,6958,13979,beetle,a beetle,A03,7.362016667,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
33,#d1e48e,guilt,feel guilty,kinda,0.5,1857,9562,beetle,a beetle,A03,7.362033333,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
34,#64f8f4,safe,feel safe,no,0,0,8572,beetle,a beetle,A03,7.362033333,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
35,#cae5a1,self_aware,be aware of itself,no,0,5859,25670,beetle,a beetle,A03,7.362033333,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
36,#a9e7e4,pride,feel proud,yes,1,0,14409,beetle,a beetle,A03,7.362033333,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
37,#c2e9f5,fear,feel scared,yes,1,0,7581,beetle,a beetle,A03,7.362033333,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
38,#d2dcee,happy,feel happy,kinda,0.5,0,8220,beetle,a beetle,A03,7.362033333,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
39,#fde096,emo_recog,understand how somebody else is feeling,no,0,0,8466,beetle,a beetle,A03,7.362033333,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
40,#f0d9a2,disrespected,get hurt feelings,kinda,0.5,0,6983,beetle,a beetle,A03,7.362033333,NA,NA,,NA,run_01,8.383333333,f,yes,"english, spanish, german","white, caucasian, or european american"
1,#d0d9ae,emo_recog,understand how somebody else is feeling,yes,1,115013,26043,beetle,a beetle,A04,6.249983333,NA,NA,,"Let participant operate computer, missed several questions and was moving very quickly",run_01,9.702777778,m,no,enligsh,other: east asian american
2,#cae5a1,free_will,decide what to do,yes,1,0,9057,beetle,a beetle,A04,6.249983333,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
3,#bce98d,tired,feel tired,yes,1,4540,7208,beetle,a beetle,A04,6.249983333,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
4,#8cf2c3,odors,smell things,kinda,0.5,3596,4883,beetle,a beetle,A04,6.249983333,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
5,#3eeaef,pain,feel pain,yes,1,0,3719,beetle,a beetle,A04,6.249983333,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
6,#d0e0c8,temperature,sense temperatures,no,0,1373,13431,beetle,a beetle,A04,6.249983333,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
7,#f2e1bc,self_restraint,have self-control -- like when you stop yourself from doing something you shouldn't do,kinda,0.5,58389,12824,beetle,a beetle,A04,6.249983333,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
8,#e3df8e,conscious,be aware of things,yes,1,4610,2652,beetle,a beetle,A04,6.249983333,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
9,#a7dcf9,disrespected,get hurt feelings,no,0,0,3130,beetle,a beetle,A04,6.249983333,NA,NA,"Response should be ""no""; input ""kinda"" accidentally ",,run_01,9.702777778,m,no,enligsh,other: east asian american
10,#f0d9a2,recognizing,recognize somebody else,kinda,0.5,378509,26800,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
11,#fdcc93,nauseated,feel sick -- like when you feel like you might throw up,kinda,0.5,265557,20601,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
12,#c3e5b5,remembering,remember things,kinda,0.5,0,7225,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
13,#a9e7e4,guilt,feel guilty,yes,1,2,12241,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
14,#c2e9f5,depressed,feel sad,no,0,1,4923,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
15,#dee7bc,pleasure,feel pleasure -- like when something feels really good,kinda,0.5,1489,4111,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
16,#fddbd0,hungry,get hungry,yes,1,0,4717,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
17,#ead1ec,computations,do math,no,0,0,2939,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
18,#f3d0d9,personality,have a personality -- like when someone is shy and somebody else is silly,no,0,0,4858,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
19,#f3c5fa,seeing,see things,yes,1,1261,5956,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
20,#e3d3af,choices,make choices,yes,1,5,6044,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
21,#d1e48e,angry,get angry,yes,1,2,3267,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
22,#f2cdb9,thoughts,have thoughts,no,0,0,3096,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
23,#94ebda,calm,feel calm,skip,NA,0,200,beetle,a beetle,A04,6.25,NA,NA,Question not answered; skipped accidentally,,run_01,9.702777778,m,no,enligsh,other: east asian american
24,#e3dbc8,reasoning,figure out how to do things,yes,1,0,11600,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
25,#b5eaa1,goal,have goals -- like when you're working hard to do something or make something happen,yes,1,435,6922,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
26,#dedfa2,self_aware,be aware of itself,kinda,0.5,0,5894,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
27,#79e3f9,desires,have desires -- like when you really want something,yes,1,580,6022,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
28,#a9f2ce,intentions,make plans,no,0,0,2855,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
29,#d5d0fa,love,feel love,no,0,0,3062,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
30,#b4dbe7,sounds,hear sounds,yes,1,0,3435,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
31,#9be4c0,happy,feel happy,kinda,0.5,0,1499,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
32,#d2dcee,joy,feel joy,kinda,0.5,0,7826,beetle,a beetle,A04,6.25,NA,NA,"Conflict with data sheet; answer circles is ""yes""",,run_01,9.702777778,m,no,enligsh,other: east asian american
33,#64f8f4,fear,feel scared,yes,1,0,4098,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
34,#cde8e2,depth,sense whether something is close by or far away,yes,1,0,4800,beetle,a beetle,A04,6.25,NA,NA,"Conflict with data sheet; answer circled is ""no""",,run_01,9.702777778,m,no,enligsh,other: east asian american
35,#f0d27e,embarrassed,feel embarrassed,no,0,0,5373,beetle,a beetle,A04,6.25,NA,NA,"Conflict with data sheet; answer circled is ""yes""",,run_01,9.702777778,m,no,enligsh,other: east asian american
36,#bae6c8,pride,feel proud,yes,1,0,1769,beetle,a beetle,A04,6.25,NA,NA,,,run_01,9.702777778,m,no,enligsh,other: east asian american
